index,x,y
0,1.0686647959158377,3.953561023509539
1,1.0686647959158377,3.953561023509539
2,1.4680115803842542,4.678403741517659
3,1.4680115803842542,4.678403741517659
4,1.5412758436592577,4.649530624650654
5,1.5412758436592577,4.649530624650654
6,0.6664993707268936,4.737077860482656
7,0.6664993707268936,4.737077860482656
8,0.534852013208265,4.531979092652269
9,0.504500947891806,3.7340353325219473
10,0.504500947891806,3.7340353325219473
11,0.9134592441376268,4.0797777139022005
12,0.9134592441376268,4.0797777139022005
13,1.8579250188310426,3.75859459203238
14,1.8579250188310426,3.75859459203238
15,1.1164229398960548,4.69532205191732
16,1.4220399580935184,4.177685967085857
17,1.4220399580935184,4.177685967085857
18,1.3223470878796821,5.029768355451638
19,1.3223470878796821,5.029768355451638
20,1.1302781533205122,4.887472216881222
21,-3.4178487039825525,4.588355996768546
22,-3.4178487039825525,4.588355996768546
23,-1.9737069883010745,3.1116231117347555
24,-1.9737069883010745,3.1116231117347555
25,-2.2421272594208093,2.3047911057798083
26,-2.2421272594208093,2.3047911057798083
27,-2.0869248422070843,3.709806246530321
28,-2.0869248422070843,3.709806246530321
29,-1.7033909765340522,3.574792082549803
30,-1.7033909765340522,3.574792082549803
31,-1.5167054807068656,4.110165836734119
32,-1.5167054807068656,4.110165836734119
33,-3.1378529878136145,4.036813553085341
