index,x,y,w
1.0,5.0,1,0
1.0595713045388417,4.040712993487122,1,0
1.0595713045388417,4.040712993487122,1,0
1.6788917652307447,4.503150675325104,1,0
1.6788917652307447,4.503150675325104,1,0
1.223923338136918,3.6284534056552618,1,0
1.223923338136918,3.6284534056552618,1,0
0.8836211263307056,4.417930502566195,1,0
0.8836211263307056,4.417930502566195,1,0
0.33164373995892105,4.213192536708521,1,0
0.33164373995892105,4.213192536708521,1,0
0.30284546132098267,4.362175969424326,1,0
0.30284546132098267,4.362175969424326,1,0
2.0786868839475034,4.279644643407801,1,0
2.0786868839475034,4.279644643407801,1,0
1.4004289361003757,4.6017461480478055,1,0
1.4004289361003757,4.6017461480478055,1,0
1.1650078456590005,4.599316335017545,1,0
1.1650078456590005,4.599316335017545,1,0
1.8670667592876882,4.342808348444023,1,0
1.8670667592876882,4.342808348444023,1,0
0.9466467774301083,3.7168117941497725,1,0
0.9466467774301083,3.7168117941497725,1,0
1.3939417785538994,3.917785327460656,1,0
1.3939417785538994,3.917785327460656,1,0
1.2237034722959241,4.3011546394646905,1,0
1.2237034722959241,4.3011546394646905,1,0
1.2143315773995365,4.66559518775229,1,0
1.2143315773995365,4.66559518775229,1,0
0.29137716934297464,4.489613029647762,1,0
0.29137716934297464,4.489613029647762,1,0
0.19895844612512437,3.7640860818736552,1,0
0.19895844612512437,3.7640860818736552,1,0
0.5749412452278647,4.17547868253952,1,0
0.5749412452278647,4.17547868253952,1,0
0.4462049870388495,4.092684115095441,1,0
0.4462049870388495,4.092684115095441,1,0
1.902680580231148,4.0484475784220715,1,0
1.902680580231148,4.0484475784220715,1,0
2.103396956108894,4.762122033453786,1,0
2.103396956108894,4.762122033453786,1,0
1.1164229398960548,4.69532205191732,1,0
1.1302781533205122,4.887472216881222,1,0
1.4629192287820325,4.369283175890744,1,0
1.4629192287820325,4.369283175890744,1,0
2.1165629560977632,4.722869627774217,1,0
2.1165629560977632,4.722869627774217,1,0
1.2541333924931182,3.893747527014952,1,0
1.2541333924931182,3.893747527014952,1,0
1.0727870401203972,3.9855653029872293,1,0
1.0727870401203972,3.9855653029872293,1,0
1.3264787920545242,3.674088406694458,1,0
1.3264787920545242,3.674088406694458,1,0
1.5258405940441198,3.6927774676078453,1,0
1.5258405940441198,3.6927774676078453,1,0
0.9871521719483951,3.9392260185492116,1,0
0.9871521719483951,3.9392260185492116,1,0
0.8051352124673705,4.180549574460242,1,0
0.8051352124673705,4.180549574460242,1,0
1.282378878753973,4.191522095784887,1,0
1.282378878753973,4.191522095784887,1,0
1.4980858337401706,4.2600468329670385,1,0
1.4980858337401706,4.2600468329670385,1,0
0.011746945007792942,4.52691509616628,1,0
0.011746945007792942,4.52691509616628,1,0
0.38948502706574195,4.962864255196026,1,0
0.38948502706574195,4.962864255196026,1,0
0.5768193821776398,3.6385651944320747,1,0
0.5768193821776398,3.6385651944320747,1,0
0.2933783432334748,3.4315348405783084,1,0
0.2933783432334748,3.4315348405783084,1,0
0.744425628793904,4.4224231913483685,1,0
0.744425628793904,4.4224231913483685,1,0
0.534852013208265,4.531979092652269,1,0
2.139268673668149,4.177519037279171,1,0
2.139268673668149,4.177519037279171,1,0
1.8065013198710653,4.516055888100369,1,0
1.8065013198710653,4.516055888100369,1,0
2.3195357486647317,5.1999351335135735,1,0
2.3195357486647317,5.1999351335135735,1,0
1.2796317355349758,4.955095958589187,1,0
1.2796317355349758,4.955095958589187,1,0
0.8869500231523376,4.425931059977971,1,0
0.8869500231523376,4.425931059977971,1,0
1.8266072538415286,4.33701236993404,1,0
1.8266072538415286,4.33701236993404,1,0
1.2616806427949505,5.1344145673019925,1,0
1.2616806427949505,5.1344145673019925,1,0
1.8054528846396671,4.09763115688903,1,0
1.8054528846396671,4.09763115688903,1,0
1.6704709088943608,3.942867600604531,1,0
1.6704709088943608,3.942867600604531,1,0
1.8637410546357236,4.754896200467713,1,0
1.8637410546357236,4.754896200467713,1,0
2.3572568068159616,5.133320538495342,1,0
-1.6099791054934212,2.649753321813132,0,1
-1.6099791054934212,2.649753321813132,0,1
-2.4141246513524877,3.7404154116099027,0,1
-2.4141246513524877,3.7404154116099027,0,1
-1.0713232332025755,2.5805515062147912,0,1
-1.0713232332025755,2.5805515062147912,0,1
-2.5116249737052057,2.550721311985755,0,1
-2.5116249737052057,2.550721311985755,0,1
-0.5430946978896378,3.1503952212131097,0,1
-0.5430946978896378,3.1503952212131097,0,1
