index,x,y
0,-0.4249250793016255,-1.7269884239189248,0.0
1,0.5163576383061917,-0.484876858878498,0.0
2,-1.8275324116378315,-0.03134727971401285,0.0
3,-1.223697814632421,0.2261927891257567,0.0
4,0.7192411885550114,-0.045314336962328415,0.0
5,-0.9024473359540494,-1.5342960564016257,0.0
6,-1.0852325645183447,-2.596412031051088,0.0
7,-0.14018353995966704,0.04292196331853098,0.0
8,-0.6130665363416804,0.2831237835342817,0.0
9,1.365364424699662,0.5617771451411742,0.0
10,0.3780877044552091,1.463740382819218,0.0
11,-1.29007482033934,0.5367011324163592,0.0
12,0.7323974998562286,-0.4870501182367479,0.0
13,0.5962099873328294,-0.8910958542576998,0.0
14,-1.601302391079669,-1.6366137433372676,0.0
15,-1.0770889873687306,-0.9912372672078563,0.0
16,1.1255851115402133,2.0292037668227207,0.0
17,1.1509905483720622,0.7150128463239477,0.0
18,0.4145099020304171,1.0525262993059556,0.0
19,-1.1608187805592451,-0.6132252444186356,0.0
21,6.170449357408779,4.339315928035762,0.5
20,4.277881617802754,5.79048946219074,0.5
22,6.572542050045631,6.710881715980024,0.5
23,6.5522973538385045,5.976927421117386,0.5
24,4.903059391393281,6.930721839547028,0.5
25,6.415546941091633,5.88427550800283,0.5
26,5.035788849652221,7.426857519152199,0.5
27,5.338572434861929,7.040699606396084,0.5
28,5.652757162432276,5.801233850136926,0.5
29,5.1805193838848,6.33973649206608,0.5
30,4.993004364482381,5.0446177173584,0.5
31,6.587971155690148,8.029253743247196,0.5
32,6.0722034046623055,5.527137426605897,0.5
33,5.43963494085111,7.108148348628779,0.5
34,4.747205192352295,4.266814710660589,0.5
35,6.06432708698578,4.494364505740753,0.5
36,6.867233146583011,5.568573445882249,0.5
37,7.20148320864092,6.057002369714779,0.5
38,4.966745087163015,7.609560306211314,0.5
39,5.937946235108503,5.752996713004254,0.5
40,9.170449357408779,8.339315928035762,1.0
41,9.277881617802754,8.79048946219074,1.0
42,9.572542050045631,9.710881715980024,1.0
43,9.5522973538385045,9.976927421117386,1.0
44,9.903059391393281,9.930721839547028,1.0
45,10.415546941091633,9.88427550800283,1.0
46,10.035788849652221,10.426857519152199,1.0
47,10.338572434861929,10.040699606396084,1.0
48,10.652757162432276,10.801233850136926,1.0
49,11.1805193838848,11.33973649206608,1.0
50,11.993004364482381,11.0446177173584,1.0
51,12.587971155690148,12.029253743247196,1.0
52,13.0722034046623055,12.527137426605897,1.0
53,13.43963494085111,12.108148348628779,1.0
54,13.747205192352295,13.266814710660589,1.0
55,14.06432708698578,12.94364505740753,1.0
56,14.867233146583011,12.568573445882249,1.0
57,15.20148320864092,13.057002369714779,1.0
58,14.966745087163015,13.609560306211314,1.0
59,14.937946235108503,12.752996713004254,1.0
