index,x,y,w
0,-0.4249250793016255,-1.7269884239189248,1,0
1,0.5163576383061917,-0.484876858878498,1,0
2,-1.8275324116378315,-0.03134727971401285,1,0
3,-1.223697814632421,0.2261927891257567,1,0
4,0.7192411885550114,-0.045314336962328415,1,0
5,-0.9024473359540494,-1.5342960564016257,1,0
6,-1.0852325645183447,-2.596412031051088,1,0
7,-0.14018353995966704,0.04292196331853098,1,0
8,-0.6130665363416804,0.2831237835342817,1,0
9,1.365364424699662,0.5617771451411742,1,0
10,0.3780877044552091,1.463740382819218,1,0
11,-1.29007482033934,0.5367011324163592,1,0
12,0.7323974998562286,-0.4870501182367479,1,0
13,0.5962099873328294,-0.8910958542576998,1,0
14,-1.601302391079669,-1.6366137433372676,1,0
15,-1.0770889873687306,-0.9912372672078563,1,0
16,1.1255851115402133,2.0292037668227207,1,0
17,1.1509905483720622,0.7150128463239477,1,0
18,0.4145099020304171,1.0525262993059556,1,0
19,-1.1608187805592451,-0.6132252444186356,1,0
21,6.170449357408779,4.339315928035762,0,1
20,4.277881617802754,5.79048946219074,0,1
22,6.572542050045631,6.710881715980024,0,1
23,6.5522973538385045,5.976927421117386,0,1
24,4.903059391393281,6.930721839547028,0,1
25,6.415546941091633,5.88427550800283,0,1
26,5.035788849652221,7.426857519152199,0,1
27,5.338572434861929,7.040699606396084,0,1
28,5.652757162432276,5.801233850136926,0,1
29,5.1805193838848,6.33973649206608,0,1
30,4.993004364482381,5.0446177173584,0,1
31,6.587971155690148,8.029253743247196,0,1
32,6.0722034046623055,5.527137426605897,0,1
33,5.43963494085111,7.108148348628779,0,1
34,4.747205192352295,4.266814710660589,0,1
35,6.06432708698578,4.494364505740753,0,1
36,6.867233146583011,5.568573445882249,0,1
37,7.20148320864092,6.057002369714779,0,1
38,4.966745087163015,7.609560306211314,0,1
39,5.937946235108503,5.752996713004254,0,1
